"","Engine.Capacity","Fuel.Type","Co2"
"870",1968,"Diesel",124
"871",1968,"Diesel",114
"872",1968,"Diesel",115
"873",1968,"Diesel",118
"874",1968,"Diesel",121
"875",2967,"Diesel",119
"876",2967,"Diesel",120
"877",2967,"Diesel",124
"878",1968,"Diesel",128
"879",1968,"Diesel",129
"880",1968,"Diesel",113
"881",1968,"Diesel",114
"882",1968,"Diesel",116
"883",1968,"Diesel",119
"884",1968,"Diesel",113
"885",1968,"Diesel",116
"886",2967,"Diesel",115
"887",2967,"Diesel",117
"888",2967,"Diesel",120
"889",2967,"Diesel",122
"890",2967,"Diesel",126
"891",2967,"Diesel",126
"892",1598,"Diesel",114
"893",1598,"Diesel",118
"894",1598,"Diesel",120
"895",1598,"Diesel",113
"896",1598,"Diesel",114
"897",1968,"Diesel",125
"898",1968,"Diesel",129
"899",1968,"Diesel",117
"900",1968,"Diesel",119
"901",1968,"Diesel",124
"902",1968,"Diesel",129
"903",1968,"Diesel",124
"904",1968,"Diesel",129
"905",1995,"Diesel",114
"906",1995,"Diesel",114
"907",1995,"Diesel",114
"908",1995,"Diesel",118
"909",1995,"Diesel",121
"910",1995,"Diesel",114
"911",1995,"Diesel",114
"912",1995,"Diesel",114
"913",1995,"Diesel",118
"914",1995,"Diesel",119
"915",1995,"Diesel",124
"916",1995,"Diesel",121
"917",1995,"Diesel",113
"918",1995,"Diesel",117
"919",1995,"Diesel",124
"920",1995,"Diesel",129
"921",1995,"Diesel",114
"922",1995,"Diesel",114
"923",1995,"Diesel",112
"924",1995,"Diesel",115
"925",1995,"Diesel",116
"926",1995,"Diesel",119
"927",1995,"Diesel",122
"928",1995,"Diesel",127
"929",1995,"Diesel",113
"930",1995,"Diesel",121
"931",1995,"Diesel",117
"932",1995,"Diesel",124
"933",1995,"Diesel",128
"934",1995,"Diesel",116
"935",1995,"Diesel",122
"936",1995,"Diesel",118
"937",1995,"Diesel",124
"938",1995,"Diesel",113
"939",1995,"Diesel",113
"940",1995,"Diesel",116
"941",1995,"Diesel",111
"942",1995,"Diesel",112
"943",1995,"Diesel",115
"944",1995,"Diesel",119
"945",1995,"Diesel",124
"946",1995,"Diesel",121
"947",1496,"Diesel",114
"948",1496,"Diesel",111
"949",1995,"Diesel",115
"950",1995,"Diesel",115
